country,model,bin,mean_predicted_probability,observed_probability,n
Haiti_DHS_2016-2017,LogReg,3,0.6121226127080671,0.5306122448979592,98
Haiti_DHS_2016-2017,LogReg,4,0.6381097247451719,0.6060606060606061,99
Haiti_DHS_2016-2017,LogReg,5,0.6568839320093558,0.6666666666666666,99
Haiti_DHS_2016-2017,LogReg,6,0.6762249635246927,0.7244897959183674,98
Haiti_DHS_2016-2017,LogReg,7,0.6940774399068115,0.7474747474747475,99
Haiti_DHS_2016-2017,LogReg,8,0.7115768358192627,0.7448979591836735,98
Haiti_DHS_2016-2017,LogReg,9,0.7308252854307614,0.8282828282828283,99
Haiti_DHS_2016-2017,LogReg,10,0.7688722808984122,0.8181818181818182,99
Haiti_DHS_2016-2017,LightGBM,1,0.3305028413291555,0.47474747474747475,99
Haiti_DHS_2016-2017,LightGBM,2,0.47278051328468695,0.5252525252525253,99
Haiti_DHS_2016-2017,LightGBM,3,0.5640779295209042,0.5816326530612245,98
Haiti_DHS_2016-2017,LightGBM,4,0.6325861257158206,0.5656565656565656,99
Haiti_DHS_2016-2017,LightGBM,5,0.6834521159554824,0.6565656565656566,99
Haiti_DHS_2016-2017,LightGBM,6,0.7285794827227509,0.6632653061224489,98
Haiti_DHS_2016-2017,LightGBM,7,0.76663447222465,0.7171717171717171,99
Haiti_DHS_2016-2017,LightGBM,8,0.8074463220315111,0.8061224489795918,98
Haiti_DHS_2016-2017,LightGBM,9,0.8568352041077962,0.8181818181818182,99
Haiti_DHS_2016-2017,LightGBM,10,0.9156088912200765,0.8383838383838383,99
Haiti_DHS_2016-2017,XGBoost,1,0.3993799090385437,0.46464646464646464,99
Haiti_DHS_2016-2017,XGBoost,2,0.518821656703949,0.5757575757575758,99
Haiti_DHS_2016-2017,XGBoost,3,0.5890867710113525,0.5612244897959183,98
Haiti_DHS_2016-2017,XGBoost,4,0.6410072445869446,0.5555555555555556,99
Haiti_DHS_2016-2017,XGBoost,5,0.6795749068260193,0.6666666666666666,99
Haiti_DHS_2016-2017,XGBoost,6,0.709746778011322,0.5816326530612245,98
Haiti_DHS_2016-2017,XGBoost,7,0.7401777505874634,0.7777777777777778,99
Haiti_DHS_2016-2017,XGBoost,8,0.7768058776855469,0.7857142857142857,98
Haiti_DHS_2016-2017,XGBoost,9,0.8157556653022766,0.8080808080808081,99
Haiti_DHS_2016-2017,XGBoost,10,0.8656408190727234,0.8686868686868687,99
Haiti_DHS_2016-2017,TabPFN,1,0.40948233008384705,0.42424242424242425,99
Haiti_DHS_2016-2017,TabPFN,2,0.5097338557243347,0.48484848484848486,99
Haiti_DHS_2016-2017,TabPFN,3,0.579190731048584,0.6224489795918368,98
Haiti_DHS_2016-2017,TabPFN,4,0.6333112120628357,0.5858585858585859,99
Haiti_DHS_2016-2017,TabPFN,5,0.6770082712173462,0.6464646464646465,99
Haiti_DHS_2016-2017,TabPFN,6,0.7144909501075745,0.6868686868686869,99
Haiti_DHS_2016-2017,TabPFN,7,0.7526769042015076,0.7244897959183674,98
Haiti_DHS_2016-2017,TabPFN,8,0.7918118834495544,0.7959183673469388,98
Haiti_DHS_2016-2017,TabPFN,9,0.8389749526977539,0.7777777777777778,99
Haiti_DHS_2016-2017,TabPFN,10,0.8918163180351257,0.898989898989899,99
Jordan_DHS_2023,LogReg,1,0.2545181471555351,0.11363636363636363,88
Jordan_DHS_2023,LogReg,2,0.2937963231938036,0.26436781609195403,87
Jordan_DHS_2023,LogReg,3,0.3178523615794153,0.29545454545454547,88
Jordan_DHS_2023,LogReg,4,0.338786945094126,0.27586206896551724,87
Jordan_DHS_2023,LogReg,5,0.3595839451858853,0.32954545454545453,88
Jordan_DHS_2023,LogReg,6,0.3773486171690205,0.28735632183908044,87
Jordan_DHS_2023,LogReg,7,0.39557662727023174,0.4827586206896552,87
Jordan_DHS_2023,LogReg,8,0.42160668167613674,0.4431818181818182,88
Jordan_DHS_2023,LogReg,9,0.45260070831402965,0.5057471264367817,87
Jordan_DHS_2023,LogReg,10,0.5018735809783167,0.5,88
Jordan_DHS_2023,LightGBM,1,0.1019248485896242,0.1590909090909091,88
Jordan_DHS_2023,LightGBM,2,0.16457694272598317,0.2413793103448276,87
Jordan_DHS_2023,LightGBM,3,0.21919102757535738,0.19318181818181818,88
Jordan_DHS_2023,LightGBM,4,0.26569619208553474,0.3103448275862069,87
Jordan_DHS_2023,LightGBM,5,0.3025440091193896,0.45454545454545453,88
Jordan_DHS_2023,LightGBM,6,0.33945015776070897,0.367816091954023,87
Jordan_DHS_2023,LightGBM,7,0.3996773926354577,0.367816091954023,87
Jordan_DHS_2023,LightGBM,8,0.45745711188682137,0.3977272727272727,88
Jordan_DHS_2023,LightGBM,9,0.5409867357616752,0.41379310344827586,87
Jordan_DHS_2023,LightGBM,10,0.6781103834183859,0.5909090909090909,88
Jordan_DHS_2023,XGBoost,1,0.1642371565103531,0.13636363636363635,88
Jordan_DHS_2023,XGBoost,2,0.2179318368434906,0.21839080459770116,87
Jordan_DHS_2023,XGBoost,3,0.2554264962673187,0.26136363636363635,88
Jordan_DHS_2023,XGBoost,4,0.28962039947509766,0.3103448275862069,87
Jordan_DHS_2023,XGBoost,5,0.32363852858543396,0.29545454545454547,88
Jordan_DHS_2023,XGBoost,6,0.3573187589645386,0.4827586206896552,87
Jordan_DHS_2023,XGBoost,7,0.39132922887802124,0.41379310344827586,87
Jordan_DHS_2023,XGBoost,8,0.430635005235672,0.4090909090909091,88
Jordan_DHS_2023,XGBoost,9,0.4831225872039795,0.3563218390804598,87
Jordan_DHS_2023,XGBoost,10,0.582975447177887,0.6136363636363636,88
Jordan_DHS_2023,TabPFN,1,0.14558981359004974,0.11363636363636363,88
Jordan_DHS_2023,TabPFN,2,0.20329585671424866,0.25287356321839083,87
Jordan_DHS_2023,TabPFN,3,0.2478216290473938,0.20454545454545456,88
Jordan_DHS_2023,TabPFN,4,0.2854883372783661,0.3068181818181818,88
Jordan_DHS_2023,TabPFN,5,0.32483014464378357,0.39080459770114945,87
Jordan_DHS_2023,TabPFN,6,0.35588452219963074,0.3333333333333333,87
Jordan_DHS_2023,TabPFN,7,0.3911435902118683,0.367816091954023,87
Jordan_DHS_2023,TabPFN,8,0.43654415011405945,0.3977272727272727,88
Jordan_DHS_2023,TabPFN,9,0.48772868514060974,0.5172413793103449,87
Jordan_DHS_2023,TabPFN,10,0.5728800892829895,0.6136363636363636,88
Armenia_DHS_2015-2016,LogReg,1,0.11115456452301416,0.17857142857142858,28
Armenia_DHS_2015-2016,LogReg,2,0.17571753422870764,0.07407407407407407,27
Armenia_DHS_2015-2016,LogReg,3,0.19068322396081103,0.037037037037037035,27
Armenia_DHS_2015-2016,LogReg,4,0.2042884885236194,0.07407407407407407,27
Armenia_DHS_2015-2016,LogReg,5,0.21389993574415017,0.14285714285714285,28
Armenia_DHS_2015-2016,LogReg,6,0.22349888721876998,0.18518518518518517,27
Armenia_DHS_2015-2016,LogReg,7,0.23440299998035832,0.18518518518518517,27
Armenia_DHS_2015-2016,LogReg,8,0.24904228574149928,0.14814814814814814,27
Armenia_DHS_2015-2016,LogReg,9,0.26658039215186846,0.2222222222222222,27
Armenia_DHS_2015-2016,LogReg,10,0.29792671189911857,0.35714285714285715,28
Armenia_DHS_2015-2016,LightGBM,1,0.002337905392242958,0.07142857142857142,28
Armenia_DHS_2015-2016,LightGBM,2,0.006180305810979463,0.07407407407407407,27
Armenia_DHS_2015-2016,LightGBM,3,0.012074168578813674,0.07407407407407407,27
Armenia_DHS_2015-2016,LightGBM,4,0.018175999004041377,0.037037037037037035,27
Armenia_DHS_2015-2016,LightGBM,5,0.02797147096193253,0.10714285714285714,28
