country,subgroup,value,model,accuracy,f1,sensitivity,specificity,auc
Malawi_DHS_2024,age_group,0–5m,LogReg,0.45454545454545453,0.625,0.5555555555555556,0.0,0.2777777777777778
Malawi_DHS_2024,age_group,0–5m,LightGBM,0.8181818181818182,0.9,1.0,0.0,0.5555555555555556
Malawi_DHS_2024,age_group,0–5m,XGBoost,0.8181818181818182,0.9,1.0,0.0,0.1111111111111111
Malawi_DHS_2024,age_group,0–5m,TabPFN,0.8181818181818182,0.9,1.0,0.0,0.2222222222222222
Rwanda_DHS_2019_2020,sex,male,LogReg,0.6394849785407726,0.44,0.3626373626373626,0.8169014084507042,0.6507506577929113
Rwanda_DHS_2019_2020,sex,male,LightGBM,0.5793991416309013,0.40963855421686746,0.37362637362637363,0.7112676056338029,0.5663210029407213
Rwanda_DHS_2019_2020,sex,male,XGBoost,0.6137339055793991,0.36619718309859156,0.2857142857142857,0.823943661971831,0.6069493886395295
Rwanda_DHS_2019_2020,sex,male,TabPFN,0.648068669527897,0.4383561643835616,0.3516483516483517,0.8380281690140845,0.665725119950472
Rwanda_DHS_2019_2020,sex,female,LogReg,0.6517857142857143,0.43478260869565216,0.379746835443038,0.8,0.6453077258838935
Rwanda_DHS_2019_2020,sex,female,LightGBM,0.6875,0.527027027027027,0.4936708860759494,0.7931034482758621,0.6493234395460498
Rwanda_DHS_2019_2020,sex,female,XGBoost,0.6741071428571429,0.43410852713178294,0.35443037974683544,0.8482758620689655,0.6618070711479702
Rwanda_DHS_2019_2020,sex,female,TabPFN,0.65625,0.42962962962962964,0.3670886075949367,0.8137931034482758,0.6509384548232213
Rwanda_DHS_2019_2020,wealth,richer,LogReg,0.627906976744186,0.38461538461538464,0.3333333333333333,0.7857142857142857,0.5416666666666667
Rwanda_DHS_2019_2020,wealth,richer,LightGBM,0.6162790697674418,0.35294117647058826,0.3,0.7857142857142857,0.5630952380952381
Rwanda_DHS_2019_2020,wealth,richer,XGBoost,0.6395348837209303,0.3111111111111111,0.23333333333333334,0.8571428571428571,0.5375
Rwanda_DHS_2019_2020,wealth,richer,TabPFN,0.627906976744186,0.30434782608695654,0.23333333333333334,0.8392857142857143,0.5294642857142857
Rwanda_DHS_2019_2020,wealth,richest,LogReg,0.5977011494252874,0.3137254901960784,0.27586206896551724,0.7586206896551724,0.6420927467300832
Rwanda_DHS_2019_2020,wealth,richest,LightGBM,0.632183908045977,0.38461538461538464,0.3448275862068966,0.7758620689655172,0.6462544589774079
Rwanda_DHS_2019_2020,wealth,richest,XGBoost,0.6436781609195402,0.27906976744186046,0.20689655172413793,0.8620689655172413,0.6171224732461356
Rwanda_DHS_2019_2020,wealth,richest,TabPFN,0.632183908045977,0.3333333333333333,0.27586206896551724,0.8103448275862069,0.6563614744351962
Rwanda_DHS_2019_2020,wealth,poorest,LogReg,0.5346534653465347,0.3188405797101449,0.2619047619047619,0.7288135593220338,0.5871670702179177
Rwanda_DHS_2019_2020,wealth,poorest,LightGBM,0.5544554455445545,0.34782608695652173,0.2857142857142857,0.7457627118644068,0.5653753026634383
Rwanda_DHS_2019_2020,wealth,poorest,XGBoost,0.6039603960396039,0.3939393939393939,0.30952380952380953,0.8135593220338984,0.5916061339790153
Rwanda_DHS_2019_2020,wealth,poorest,TabPFN,0.5841584158415841,0.3,0.21428571428571427,0.847457627118644,0.608958837772397
Rwanda_DHS_2019_2020,wealth,poorer,LogReg,0.6404494382022472,0.38461538461538464,0.3125,0.8245614035087719,0.6633771929824561
Rwanda_DHS_2019_2020,wealth,poorer,LightGBM,0.6067415730337079,0.3137254901960784,0.25,0.8070175438596491,0.5838815789473685
Rwanda_DHS_2019_2020,wealth,poorer,XGBoost,0.6853932584269663,0.3333333333333333,0.21875,0.9473684210526315,0.6655701754385965
Rwanda_DHS_2019_2020,wealth,poorer,TabPFN,0.6741573033707865,0.32558139534883723,0.21875,0.9298245614035088,0.6461074561403509
Rwanda_DHS_2019_2020,wealth,middle,LogReg,0.6276595744680851,0.4927536231884058,0.4722222222222222,0.7241379310344828,0.6594827586206896
Rwanda_DHS_2019_2020,wealth,middle,LightGBM,0.6595744680851063,0.5151515151515151,0.4722222222222222,0.7758620689655172,0.6824712643678161
Rwanda_DHS_2019_2020,wealth,middle,XGBoost,0.6382978723404256,0.46875,0.4166666666666667,0.7758620689655172,0.6987547892720306
Rwanda_DHS_2019_2020,wealth,middle,TabPFN,0.6702127659574468,0.5230769230769231,0.4722222222222222,0.7931034482758621,0.696360153256705
Rwanda_DHS_2019_2020,education,secondary,LogReg,0.5930232558139535,0.5070422535211268,0.5142857142857142,0.6470588235294118,0.5977591036414566
Rwanda_DHS_2019_2020,education,secondary,LightGBM,0.5813953488372093,0.4375,0.4,0.7058823529411765,0.6067226890756302
Rwanda_DHS_2019_2020,education,secondary,XGBoost,0.627906976744186,0.5,0.45714285714285713,0.7450980392156863,0.6492997198879552
Rwanda_DHS_2019_2020,education,secondary,TabPFN,0.6511627906976745,0.5,0.42857142857142855,0.803921568627451,0.6980392156862745
Rwanda_DHS_2019_2020,education,higher,LogReg,0.6818181818181818,0.46153846153846156,0.42857142857142855,0.8,0.5047619047619047
Rwanda_DHS_2019_2020,education,higher,LightGBM,0.5909090909090909,0.3076923076923077,0.2857142857142857,0.7333333333333333,0.5714285714285714
Rwanda_DHS_2019_2020,education,higher,XGBoost,0.6818181818181818,0.2222222222222222,0.14285714285714285,0.9333333333333333,0.6476190476190476
Rwanda_DHS_2019_2020,education,higher,TabPFN,0.6363636363636364,0.0,0.0,0.9333333333333333,0.638095238095238
Rwanda_DHS_2019_2020,education,primary,LogReg,0.6013289036544851,0.3939393939393939,0.35454545454545455,0.743455497382199,0.5837696335078535
Rwanda_DHS_2019_2020,education,primary,LightGBM,0.5913621262458472,0.33513513513513515,0.2818181818181818,0.7696335078534031,0.554878629224179
Rwanda_DHS_2019_2020,education,primary,XGBoost,0.6345514950166113,0.32098765432098764,0.23636363636363636,0.8638743455497382,0.5799143265111851
Rwanda_DHS_2019_2020,education,primary,TabPFN,0.6312292358803987,0.31901840490797545,0.23636363636363636,0.8586387434554974,0.60140409328891
Rwanda_DHS_2019_2020,education,no education,LogReg,0.5208333333333334,0.34285714285714286,0.3157894736842105,0.6551724137931034,0.5009074410163339
Rwanda_DHS_2019_2020,education,no education,LightGBM,0.5625,0.36363636363636365,0.3157894736842105,0.7241379310344828,0.45735027223230484
Rwanda_DHS_2019_2020,education,no education,XGBoost,0.625,0.3076923076923077,0.21052631578947367,0.896551724137931,0.4918330308529945
Rwanda_DHS_2019_2020,education,no education,TabPFN,0.5833333333333334,0.2857142857142857,0.21052631578947367,0.8275862068965517,0.499092558983666
Rwanda_DHS_2019_2020,residence,rural,LogReg,0.6507042253521127,0.43636363636363634,0.35555555555555557,0.8318181818181818,0.6803030303030304
Rwanda_DHS_2019_2020,residence,rural,LightGBM,0.6338028169014085,0.4036697247706422,0.32592592592592595,0.8227272727272728,0.6027946127946127
Rwanda_DHS_2019_2020,residence,rural,XGBoost,0.6309859154929578,0.3350253807106599,0.24444444444444444,0.8681818181818182,0.6248148148148149
Rwanda_DHS_2019_2020,residence,rural,TabPFN,0.6816901408450704,0.43781094527363185,0.32592592592592595,0.9,0.6854040404040403
Rwanda_DHS_2019_2020,residence,urban,LogReg,0.6862745098039216,0.4838709677419355,0.42857142857142855,0.8208955223880597,0.7245202558635394
Rwanda_DHS_2019_2020,residence,urban,LightGBM,0.696078431372549,0.4745762711864407,0.4,0.8507462686567164,0.6831556503198295
Rwanda_DHS_2019_2020,residence,urban,XGBoost,0.6568627450980392,0.3137254901960784,0.22857142857142856,0.8805970149253731,0.6660980810234541
Rwanda_DHS_2019_2020,residence,urban,TabPFN,0.7352941176470589,0.5573770491803278,0.4857142857142857,0.8656716417910447,0.771002132196162
