train_country,test_country,lg_accuracy,lg_f1,lg_sensitivity,lg_specificity,lg_auc,lg_precision,lg_bal_acc,lgbm_accuracy,lgbm_f1,lgbm_sensitivity,lgbm_specificity,lgbm_auc,lgbm_precision,lgbm_bal_acc,xgb_accuracy,xgb_f1,xgb_sensitivity,xgb_specificity,xgb_auc,xgb_precision,xgb_bal_acc,tabpfn_accuracy,tabpfn_f1,tabpfn_sensitivity,tabpfn_specificity,tabpfn_auc,tabpfn_precision,tabpfn_bal_acc
Haiti_DHS_2016-2017,Mali_DHS_2023_2024,0.7293802239394417,0.8425399155808405,0.9969598262757872,0.019585253456221197,0.6604901254396893,0.72954075957413,0.5082725398660042,0.7175524365242075,0.8217378321887131,0.8964169381107492,0.24308755760368664,0.6583238265359732,0.7585446527012127,0.5697522478572179,0.724649108973348,0.8318890814558059,0.9381107491856677,0.15841013824884792,0.6618058161585533,0.7472755578619616,0.5482604437172578,0.7276454817852074,0.8320202314949907,0.9287730727470142,0.19412442396313365,0.6728114351761508,0.7535236081747709,0.5614487483550739
Jordan_DHS_2023,Gabon_DHS_2019_2021,0.5462545610646061,0.5940860215053764,0.4808828100714952,0.6920943134535368,0.625871270732762,0.7769964841788046,0.586488561762516,0.5222150676110754,0.5684373788290035,0.4557040721168791,0.6705963938973648,0.6002551459242401,0.755280783101494,0.563150233007122,0.4603992273019961,0.439589835042354,0.3064967360895244,0.8037447988904299,0.5986300888526926,0.77698975571316,0.5551207674899772,0.5243614509551406,0.5571542765787371,0.4333229717127759,0.7274618585298197,0.6194929459783044,0.7800783435926133,0.5803924151212978
Jordan_DHS_2023,Malawi_DHS_2024,0.5804949767213918,0.4067914067914068,0.29766734279918866,0.844950213371266,0.6339543076758833,0.6422319474835886,0.5713087780852273,0.5557461406518011,0.3536541889483066,0.2515212981744422,0.8402086296823139,0.5815239815453331,0.595438175270108,0.545864963928378,0.5474148493016417,0.2307371928363182,0.14046653144016227,0.9279279279279279,0.58628359864081,0.6456876456876457,0.534197229684045,0.5689781916197011,0.3633731451321028,0.25456389452332656,0.862968231389284,0.6309234931525953,0.6346396965865992,0.5587660629563053
Jordan_DHS_2023,Rwanda_DHS_2019_2020,0.6370779976717112,0.03855050115651504,0.01988862370723946,0.9931161083065626,0.5923830678535219,0.625,0.506502366006901,0.6332945285215367,0.05688622754491018,0.030230708035003977,0.9811840293712712,0.5503393022935719,0.4810126582278481,0.5057073687031376,0.6338766006984866,0.007886435331230283,0.003977724741447892,0.997246443322625,0.5548584649231856,0.45454545454545453,0.5006120840320365,0.6327124563445867,0.015600624024960999,0.007955449482895784,0.9931161083065626,0.6107695026255904,0.4,0.5005357788947292
Jordan_DHS_2023,Sierra_Leone_DHS_2019,0.6062678062678063,0.6911041573535985,0.6320523303352412,0.5469924812030075,0.6256278472141105,0.76232741617357,0.5895224057691244,0.5977207977207977,0.6945045434876677,0.6561733442354865,0.4633458646616541,0.5806756773372516,0.7375919117647058,0.5597596044485703,0.4883190883190883,0.527617043661231,0.41005723630417007,0.668233082706767,0.5646548146736423,0.7396755162241888,0.5391451595054685,0.5592592592592592,0.6355712603062427,0.5515126737530662,0.5770676691729323,0.6013909851283975,0.7498610339077265,0.5642901714629993
Jordan_DHS_2023,Haiti_DHS_2016-2017,0.5105391163356303,0.49739854318418314,0.3645515558267236,0.7995169082125604,0.6328113716682435,0.7825802226588081,0.582034232019642,0.546209971625456,0.58063307735531,0.47284929835265405,0.6914251207729468,0.6141685677905403,0.7520621057738962,0.5821372095628005,0.47709768950141873,0.43790849673202614,0.3065893837705918,0.8146135265700483,0.6146444935199677,0.7660060975609756,0.56060145517032,0.5470206728820429,0.5601259594567999,0.4341061622940818,0.7705314009661836,0.6515584426111126,0.7892401552967276,0.6023187816301326
Jordan_DHS_2023,Armenia_DHS_2015-2016,0.8368846436443791,0.008928571428571428,0.0045662100456621,0.9964973730297724,0.5579972650720917,0.2,0.5005317915377172,0.7942689199118296,0.10828025477707007,0.0776255707762557,0.9316987740805605,0.5197682508456685,0.17894736842105263,0.504662172428408,0.8251285819250551,0.032520325203252036,0.0182648401826484,0.9798598949211909,0.5500643747650921,0.14814814814814814,0.49906236755191963,0.8141072740631888,0.052434456928838954,0.0319634703196347,0.9640980735551664,0.5958364321186096,0.14583333333333334,0.49803077193740053
Jordan_DHS_2023,Kyrgyz_Republic_DHS_2012,0.5587503455902681,0.045454545454545456,0.02386934673366834,0.9792592592592593,0.575286928469508,0.475,0.5015643029964638,0.5598562344484379,0.20796019900497512,0.13128140703517588,0.8967901234567901,0.5559764873751474,0.5,0.514035765245983,0.5606856510920653,0.08414985590778098,0.04585427135678392,0.9654320987654321,0.5757261616725604,0.5104895104895105,0.5056431850611081,0.566215095382914,0.15235008103727715,0.0885678391959799,0.9417283950617283,0.6197431602456728,0.5444015444015444,0.5151481171288541
Jordan_DHS_2023,Liberia_DHS_2019_2020,0.5979572887650882,0.6963534361851332,0.6481723237597912,0.4742765273311897,0.5825203798074098,0.7522727272727273,0.5612244255454905,0.5580315691736305,0.6463595839524517,0.5678851174934726,0.5337620578778135,0.560358651028855,0.75,0.5508235876856431,0.44614670380687094,0.46717284502009826,0.3413838120104439,0.7041800643086816,0.5460130296441195,0.7397454031117398,0.5227819381595628,0.5649953574744662,0.6484052532833021,0.5639686684073107,0.567524115755627,0.5956077422279684,0.7625772285966461,0.5657463920814689
Jordan_DHS_2023,Bolivia_DHS_2008,0.43313708999158956,0.20799059929494712,0.12249134948096886,0.9142550911039657,0.47027744708626784,0.688715953307393,0.5183732202924674,0.4327165685449958,0.19558735837805605,0.11349480968858132,0.9271168274383709,0.5518582390398943,0.7068965517241379,0.5203058185634761,0.41757779646761983,0.11839592616168046,0.0643598615916955,0.9646302250803859,0.5629613146563713,0.7380952380952381,0.5144950433360407,0.432296047098402,0.18478260869565216,0.10588235294117647,0.9378349410503751,0.591816405018599,0.7251184834123223,0.5218586469957758
Jordan_DHS_2023,Congo_DRC_DHS_2021_2022,0.47549386011745864,0.4166270783847981,0.2901091630830301,0.8131967460078336,0.6102979995588707,0.7388374052232519,0.5516529545454318,0.4588360918312867,0.41559040590405905,0.2980482963943103,0.7517324495329919,0.552805736516176,0.6862147753236862,0.5248903729636512,0.4193272824345969,0.2869131917125623,0.18094608005292756,0.853570352515818,0.5556860344668977,0.6924050632911393,0.5172582162843729,0.49097704217832355,0.46335697399527187,0.34039034072113794,0.7652907502259717,0.5862908073355854,0.7254141698977793,0.5528405454735548
Jordan_DHS_2023,Guatemala_DHS_2014_2015,0.6606644198363023,0.37826393789696544,0.30385487528344673,0.8442467551407321,0.6296985105840499,0.5009345794392523,0.5740508152120894,0.6406355320173327,0.3297413793103448,0.2602040816326531,0.8363715910748141,0.5940546421767384,0.45,0.5482878363537336,0.6634569090033703,0.24170101974397917,0.1578798185941043,0.9235817412862768,0.5954358300123316,0.515263644773358,0.5407307799401906,0.6678863745787194,0.35181356887803045,0.2653061224489796,0.8750182295464489,0.6576732790729436,0.5220301171221416,0.5701621759977142
Jordan_DHS_2023,Ghana_DHS_2022,0.6213292117465224,0.6236559139784946,0.5788973384030418,0.671541057367829,0.6755154892710655,0.6759156492785794,0.6252191978854353,0.5808861411643482,0.6250288084812169,0.6444866920152091,0.5056242969628797,0.611830484117242,0.6067114093959731,0.5750554944890445,0.5553838227717671,0.5138028169014085,0.43346007604562736,0.6996625421822272,0.6074983854204536,0.6307053941908713,0.5665613091139273,0.615919629057187,0.633210332103321,0.6116920152091255,0.6209223847019123,0.6604337391523777,0.6562978072412035,0.616307199955519
Jordan_DHS_2023,Gambia_DHS_2019_2020,0.6350030543677458,0.6802247792346803,0.727116704805492,0.5294888597640891,0.6901757784969005,0.6390145801910507,0.6283027822847905,0.6145387904703726,0.6513812154696133,0.6744851258581236,0.5458715596330275,0.6570707282766151,0.6298076923076923,0.6101783427455756,0.5907147220525352,0.5311406578026592,0.4342105263157895,0.7699868938401049,0.6582295137524705,0.6837837837837838,0.6020987100779471,0.645693341478314,0.6614127262113252,0.6481693363844394,0.6428571428571429,0.6911398085360989,0.6752085816448152,0.6455132396207912
Jordan_DHS_2023,Cameroon_DHS_2018,0.5362427890644595,0.4635915288656803,0.3486038394415358,0.7899705014749262,0.6339171261332222,0.6917748917748918,0.569287170458231,0.5186857286180085,0.4595888482117713,0.35602094240837695,0.7386430678466077,0.5898223653389756,0.6481334392374901,0.5473320051274924,0.49385502884374216,0.3430989583333333,0.2299301919720768,0.8507374631268436,0.5924276822808074,0.6756410256410257,0.5403338275494602,0.5430147980938048,0.4884896125772038,0.3795811518324607,0.7640117994100295,0.6239264956472944,0.6850393700787402,0.5717964756212451
Jordan_DHS_2023,Mali_DHS_2023_2024,0.6410660779056931,0.7314137361340571,0.6729641693811075,0.5564516129032258,0.6548847425909525,0.80098216593435,0.6147078911421666,0.6084213846396468,0.7068130830086197,0.6499457111834962,0.49827188940092165,0.6114059677669534,0.7745859213250518,0.5741088002922089,0.46270304368396153,0.4632109658106192,0.31921824104234525,0.8433179723502304,0.6193048654788174,0.8438576349024111,0.5812681066962878,0.6082636808074436,0.6869959677419355,0.5919652551574376,0.6514976958525346,0.6673669173459023,0.8183728610027019,0.6217314755049861
Armenia_DHS_2015-2016,Gabon_DHS_2019_2021,0.30950847821420907,0.0,0.0,1.0,0.468104603793043,0.0,0.5,0.30950847821420907,0.006792219820932387,0.0034193347839602114,0.992371705963939,0.5230151927800344,0.5,0.4978955203739496,0.30950847821420907,0.0,0.0,1.0,0.5436032010940491,0.0,0.5,0.30950847821420907,0.0,0.0,1.0,0.568950081851054,0.0,0.5
Armenia_DHS_2015-2016,Malawi_DHS_2024,0.5167851016907621,0.0,0.0,1.0,0.564548775315296,0.0,0.5,0.5170301396716491,0.036185819070904644,0.018762677484787018,0.9829302987197724,0.5584960427492722,0.5068493150684932,0.5008464881022797,0.5148247978436657,0.004024144869215292,0.002028397565922921,0.9943100995732574,0.5412534612118256,0.25,0.49816924856959016,0.5167851016907621,0.0,0.0,1.0,0.6223272087075866,0.0,0.5
Armenia_DHS_2015-2016,Rwanda_DHS_2019_2020,0.6341676367869615,0.0,0.0,1.0,0.5383247115830102,0.0,0.5,0.630093131548312,0.1730644111906311,0.10580747812251393,0.9325378614043139,0.568729935673674,0.475,0.5191726697634139,0.6312572759022119,0.02762854950115119,0.014319809069212411,0.987150068838917,0.581497355059487,0.391304347826087,0.5007349389540647,0.6469732246798603,0.1216509775524982,0.06682577565632458,0.981642955484167,0.6378112765849471,0.6774193548387096,0.5242343655702458
Armenia_DHS_2015-2016,Sierra_Leone_DHS_2019,0.30313390313390315,0.0,0.0,1.0,0.5512294892997005,0.0,0.5,0.3037037037037037,0.0024489795918367346,0.0012264922322158627,0.9990601503759399,0.5413214915866936,0.75,0.5001433213040779,0.30313390313390315,0.0,0.0,1.0,0.5355613584246799,0.0,0.5,0.30313390313390315,0.0,0.0,1.0,0.5882327061521342,0.0,0.5
Armenia_DHS_2015-2016,Haiti_DHS_2016-2017,0.33563032022699635,0.0,0.0,1.0,0.543407337159161,0.0,0.5,0.33563032022699635,0.0054611650485436895,0.002745576571079927,0.9945652173913043,0.5806559172112133,0.5,0.4986553969811921,0.3352249695987029,0.0,0.0,0.998792270531401,0.5561190766727679,0.0,0.4993961352657005,0.33563032022699635,0.0,0.0,1.0,0.6334997922027394,0.0,0.5
Armenia_DHS_2015-2016,Jordan_DHS_2023,0.6505831237136976,0.0,0.0,1.0,0.533950441207593,0.0,0.5,0.6487537159844501,0.0051813471502590676,0.002617801047120419,0.9957820738137083,0.555162450887476,0.25,0.49919993743041435,0.6505831237136976,0.0,0.0,1.0,0.5623096458377423,0.0,0.5,0.6505831237136976,0.0,0.0,1.0,0.5787171394657662,0.0,0.5
Armenia_DHS_2015-2016,Kyrgyz_Republic_DHS_2012,0.5598562344484379,0.0,0.0,1.0,0.5439168062534896,0.0,0.5,0.5670445120265414,0.09688581314878893,0.052763819095477386,0.971358024691358,0.5943070289720206,0.5915492957746479,0.5120609218934177,0.5612385955211501,0.008744534665833853,0.0043969849246231155,0.9990123456790123,0.602783051057758,0.7777777777777778,0.5017046653018177,0.5642797898811169,0.03075030750307503,0.015703517587939697,0.9955555555555555,0.6379120913208015,0.7352941176470589,0.5056295365717476
Armenia_DHS_2015-2016,Liberia_DHS_2019_2020,0.28876508820798513,0.0,0.0,1.0,0.5230337998371294,0.0,0.5,0.2901578458681523,0.003908794788273616,0.0019582245430809398,1.0,0.5686942231326556,1.0,0.5009791122715405,0.28876508820798513,0.0,0.0,1.0,0.5606713792785003,0.0,0.5,0.28876508820798513,0.0,0.0,1.0,0.5945898012811364,0.0,0.5
Armenia_DHS_2015-2016,Bolivia_DHS_2008,0.44449116904962155,0.19204892966360856,0.10865051903114187,0.9646302250803859,0.6612497542992987,0.8263157894736842,0.5366403720557639,0.4873843566021867,0.32985156679494226,0.20761245674740483,0.9206859592711683,0.6550777526823099,0.8021390374331551,0.5641492080092866,0.4163162321278385,0.08923884514435695,0.047058823529411764,0.9882100750267953,0.656774849149041,0.8607594936708861,0.5176344492781035,0.41505466778805716,0.0973393900064893,0.05190311418685121,0.977491961414791,0.6797442487492443,0.78125,0.5146975378008211
Armenia_DHS_2015-2016,Congo_DRC_DHS_2021_2022,0.35440469834490124,0.0,0.0,1.0,0.5047084035949356,0.0,0.5,0.3585691404164442,0.03222168519413565,0.016539861065167052,0.9816209701717384,0.5098381525508412,0.6211180124223602,0.49908041561845273,0.35429791777896424,0.0013212221304706854,0.0006615944426066821,0.9984935221452245,0.4873821889965422,0.4444444444444444,0.4995775582939156,0.35515216230646024,0.004286892003297609,0.0021501819384717167,0.9981922265742693,0.5334844728129834,0.6842105263157895,0.5001712042563705
Armenia_DHS_2015-2016,Guatemala_DHS_2014_2015,0.6603755416466057,0.0011328235627301047,0.0005668934240362812,0.999854163628409,0.5631486370251761,0.6666666666666666,0.5002105285262226,0.6560423688011555,0.16542056074766356,0.10034013605442177,0.9419571241067523,0.5876545832469393,0.47074468085106386,0.521148630080587,0.6597977852672123,0.014504881450488146,0.007369614512471655,0.9954790724806767,0.5638756900358705,0.45614035087719296,0.5014243434965742,0.6650938854116514,0.055404671374253124,0.02891156462585034,0.9924165086772642,0.617276748821156,0.6623376623376623,0.5106640366515572
Armenia_DHS_2015-2016,Ghana_DHS_2022,0.45801133436373004,0.0,0.0,1.0,0.570691318052924,0.0,0.5,0.45801133436373004,0.002843601895734597,0.0014258555133079848,0.9983127109111362,0.5739354467573683,0.5,0.49986928321222207,0.45801133436373004,0.0,0.0,1.0,0.5672394859863049,0.0,0.5,0.45801133436373004,0.0,0.0,1.0,0.6199244996941922,0.0,0.5
Armenia_DHS_2015-2016,Gambia_DHS_2019_2020,0.4660965180207697,0.0,0.0,1.0,0.5531665472016699,0.0,0.5,0.46518020769700674,0.0056785917092561046,0.002860411899313501,0.9947575360419397,0.5182361568060558,0.38461538461538464,0.4988089739706266,0.4660965180207697,0.0,0.0,1.0,0.5301878424621586,0.0,0.5,0.4660965180207697,0.0,0.0,1.0,0.6073250537592485,0.0,0.5
Armenia_DHS_2015-2016,Cameroon_DHS_2018,0.4251316779533484,0.0,0.0,1.0,0.5227365158792672,0.0,0.5,0.42814145974416856,0.029787234042553193,0.015270506108202443,0.9864306784660767,0.5399429592220215,0.603448275862069,0.5008505922871396,0.42463004765487833,0.0026086956521739132,0.0013089005235602095,0.9970501474926253,0.5274892276328592,0.375,0.4991795240080928,0.4253824931025834,0.004345936549326379,0.002181500872600349,0.9976401179941002,0.5757493037215504,0.5555555555555556,0.4999108094333503
Armenia_DHS_2015-2016,Mali_DHS_2023_2024,0.27377385270462073,0.0,0.0,1.0,0.5628969713345042,0.0,0.5,0.2750354833622457,0.004331817197314273,0.002171552660152009,0.9988479262672811,0.5520081858528848,0.8333333333333334,0.5005097394637166,0.27377385270462073,0.0,0.0,1.0,0.517441095383199,0.0,0.5,0.27377385270462073,0.0,0.0,1.0,0.6368356499897427,0.0,0.5
Kyrgyz_Republic_DHS_2012,Gabon_DHS_2019_2021,0.3760463618802318,0.22376502002670226,0.13024557040721169,0.9244105409153953,0.5904925161363198,0.7935606060606061,0.5273280556613035,0.4928096157973814,0.534200670214863,0.42119987566055334,0.6525658807212206,0.5603407392333637,0.7300646551724138,0.536882878190887,0.4101738570508693,0.3540197461212976,0.23406900839291264,0.8030513176144244,0.554536686819372,0.7261330761812922,0.5185601630036685,0.5127709808971882,0.5622830698033167,0.45321728318308985,0.6456310679611651,0.5715173853190639,0.7404773996952768,0.5494241755721274
Kyrgyz_Republic_DHS_2012,Malawi_DHS_2024,0.5849056603773585,0.36267870579382994,0.24442190669371197,0.903271692745377,0.6512235786549869,0.7026239067055393,0.5738467997195444,0.5959323695172751,0.6035104592450108,0.6364097363083164,0.5580844001896633,0.6281999678764918,0.5738454503886603,0.5972470682489899,0.575104141141877,0.5225770925110133,0.481237322515213,0.662873399715505,0.6102641821922274,0.5716867469879519,0.5720553611153589,0.6116148002940456,0.5738101640225867,0.5410750507099391,0.6775723091512565,0.6509178523030343,0.6107613050944476,0.6093236799305979
Kyrgyz_Republic_DHS_2012,Rwanda_DHS_2019_2020,0.6469732246798603,0.46208425720620844,0.4144789180588703,0.781092244148692,0.6492479197722675,0.5220440881763527,0.5977855811037812,0.5742142025611175,0.5105386416861827,0.6070007955449482,0.5553005966039468,0.6164936657608626,0.4405311778290993,0.5811506960744475,0.589639115250291,0.5141281874569262,0.5934765314240255,0.5874254245066545,0.6196590511218862,0.4534954407294833,0.59045097796534,0.5940046565774156,0.5345345345345346,0.6372315035799523,0.5690683799908215,0.6418056132103542,0.4603448275862069,0.603149941785387
Kyrgyz_Republic_DHS_2012,Sierra_Leone_DHS_2019,0.35185185185185186,0.15709522045201926,0.0866721177432543,0.9614661654135338,0.600509347776637,0.8379446640316206,0.524069141578394,0.48205128205128206,0.5102370689655172,0.38716271463614066,0.700187969924812,0.5639216858581448,0.7480252764612955,0.5436753422804763,0.3903133903133903,0.2899800928998009,0.17865903515944398,0.8768796992481203,0.5542321282560448,0.7693661971830986,0.5277693672037821,0.49401709401709404,0.520259319286872,0.3937040065412919,0.724624060150376,0.5900155770661322,0.76671974522293,0.5591640333458339
Kyrgyz_Republic_DHS_2012,Haiti_DHS_2016-2017,0.3954195379002837,0.21561924796213516,0.12507626601586333,0.9305555555555556,0.6250753449287152,0.780952380952381,0.5278159107857094,0.5074989866234293,0.5012315270935961,0.3724832214765101,0.7747584541062802,0.6168448786080826,0.7659974905897114,0.5736208377913952,0.43453587353060397,0.3426013195098963,0.22178157413056743,0.8556763285024155,0.5969781341279736,0.7525879917184265,0.5387289513164915,0.5293879205512768,0.5354141656662665,0.4081757169005491,0.7693236714975845,0.6359226198371224,0.7779069767441861,0.5887496941990669
